                                  ################################
                                  # XMAPTOOLS  V2  STANDARD FILE #
                                  ################################

%------------------------------------------N-O-T-I-C-E----------------------------------------------------
File used to provide the spot analyses (standards) used for the standardization 
Details are given in Lanari et al. 2014; 2018.

This file is described in the user notice (http://www.xmaptools.com/?page_id=1009)

!>1 Image coordinates (Microprobe dependent, see the XMapToolsCoordinatesTool.xls spreadsheet)
! xleft xright ybott ytop coordinates calculated using the XMapToolsCoordinatesTool.xls spreadsheet

!>2 Liste of oxide (oxide names delimited by space(s) or tabulation(s) X and Y must be the two last values)
! Oxides separated by spaces (see the list available in the user notice)

!>3 Chemical analyses (can be pasted directly from excel)
! Analyses using the order defined in >2 (one analysis per line)

%---------------------------------------------------------------------------------------------------------


>1 Here put in the map coordinates (from XMapToolsCoordinatesTool.xls)
-36.0026   -37.4463   33.3504   31.7341



>2 Here define the oxides order 
SiO2 Al2O3 Na2O MgO K2O FeO CaO TiO2 ZnO MnO X Y



>3 Here paste the chemical analyses 
25.39	42.2	0	7.45	0.0003	16.21	0.0086	0	0.0065	0.1422	-36.1312	32.6913
24.84	40.67	0.0003	7.29	0	15.97	0.0073	0	0	0.1179	-36.1712	32.6788
25.32	42.21	0.0056	7.18	0.005	16.62	0.0092	0.003	0.0273	0.1502	-36.2111	32.6662
25.31	42.18	0	7.21	0	16.58	0.0034	0.0197	0	0.1358	-36.2511	32.6537
25.28	41.94	0.0018	6.92	0	16.9	0.0026	0.0037	0.0369	0.1483	-36.291	32.6411
25.27	41.78	0	6.9	0.0004	17.05	0.0082	0.0002	0.03	0.1438	-36.331	32.6286
25.21	41.73	0.0059	6.63	0	17.49	0.0013	0	0.0256	0.1397	-36.3709	32.6161
24.98	41.57	0.0029	5.81	0.0009	18.54	0.0113	0.0051	0.0064	0.1643	-36.4109	32.6035
24.94	41.29	0	5.27	0.0001	19.58	0.0101	0.0106	0.0208	0.2188	-36.4508	32.591
24.93	41.35	0	4.97	0.0056	19.92	0.0076	0	0.0628	0.1958	-36.4908	32.5784
24.87	41.31	0	4.9	0.0136	20.2	0.002	0	0	0.1764	-36.5308	32.5659
24.79	41.18	0.0011	4.75	0.0009	20.41	0.0088	0	0	0.219	-36.5707	32.5533
24.81	41.18	0	4.76	0	20.17	0.0029	0.0199	0.0251	0.1919	-36.6107	32.5408
24.85	41.26	0.0056	4.86	0.0095	20.11	0.0016	0	0.0427	0.1884	-36.6506	32.5283
24.92	41.23	0	4.9	0.0058	20.15	0.0018	0	0	0.1791	-36.6906	32.5157
24.92	41.32	0.0016	4.85	0.0046	20.04	0.006	0.0037	0.0267	0.1881	-36.7305	32.5032
24.83	41.37	0.0042	4.85	0	20.19	0	0.0033	0.048	0.1871	-36.7705	32.4906
24.87	41.18	0	4.82	0.0046	19.23	0.0045	0.001	0.047	0.1909	-36.8104	32.4781
24.94	41.18	0	4.74	0	20.11	0.0108	0	0.0571	0.2186	-36.8504	32.4656
24.73	41.11	0	4.6	0.0077	20.35	0.0183	0.0043	0.032	0.2075	-36.8903	32.453
24.97	41.29	0	4.91	0.0038	20.2	0	0.0025	0.0086	0.2042	-36.9303	32.4405
24.98	41.42	0.0042	5.35	0.015	19.5	0.0099	0	0.0048	0.1829	-36.9703	32.4279
25.29	41.77	0	6.22	0	18.03	0.0041	0.0045	0.0219	0.1732	-37.0102	32.4154
25.29	42.21	0	6.87	0	16.6	0	0.0082	0	0.1395	-37.0502	32.4028
25.33	41.79	0.0041	6.51	0.0185	17.09	0.0055	0.0095	0	0.1239	-37.0901	32.3903
25.15	42.15	0	6.69	0	17.04	0.0006	0	0.0626	0.1738	-37.1301	32.3778
25.32	42.07	0.0055	6.99	0.0016	16.86	0.0187	0.0005	0.0311	0.1529	-37.17	32.3652
25.32	42.09	0.0061	6.46	0.0102	17.42	0	0.0192	0.0064	0.1823	-37.21	32.3527
25.24	42.03	0	6.78	0	17.3	0.0203	0.0043	0.0224	0.1449	-37.2499	32.3401
25.27	41.93	0.0007	6.61	0.0098	17.37	0.0083	0	0.0059	0.1807	-37.2899	32.3276
52.45	28.52	0.4679	3.64	10.48	1.38	0	0.1357	0	0.0041	-37.1286	32.8826

